id,title,publishedAt,guest,episode,topics,tags,duration,viewCount,likeCount,commentCount
-hxeDjAxvJ8,"Marc Andreessen: Future of the Internet, Technology, and AI | Lex Fridman Podcast #386",2023-06-22T02:01:03Z,Marc Andreessen,386,"Future of the Internet, Technology, and AI","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,marc andreessen,mit ai",3hr 11min 35s,310910,6230,1151
diJp4zoQPqo,Jimmy Wales: Wikipedia | Lex Fridman Podcast #385,2023-06-18T22:40:04Z,Jimmy Wales,385,Wikipedia,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,jimmy wales,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",3hr 15min 7s,172147,3154,826
8qgIFD0PaWo,"Matthew McConaughey: Freedom, Truth, Family, Hardship, and Love | Lex Fridman Podcast #384",2023-06-13T18:25:09Z,Matthew McConaughey,384,"Freedom, Truth, Family, Hardship, and Love","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,matthew mcconaughey,mit ai",2hr 19min 1s,1018347,27600,3091
Ff4fRgnuFgQ,"Mark Zuckerberg: Future of AI at Meta, Facebook, Instagram, and WhatsApp | Lex Fridman Podcast #383",2023-06-08T22:48:56Z,Mark Zuckerberg,383,"Future of AI at Meta, Facebook, Instagram, and WhatsApp","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mark zuckerberg,mit ai",2hr 41min 59s,1231310,25564,3848
8TmV6KEYkK0,"Bert Kreischer: Comedy, Drinking, Rogan, Segura, Churchill & Kim Jong Un | Lex Fridman Podcast #382",2023-06-05T17:09:11Z,Bert Kreischer,382,"Comedy, Drinking, Rogan, Segura, Churchill & Kim Jong Un","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,bert kreischer,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 8min 4s,384227,8210,1301
pdJQ8iVTwj8,Chris Lattner: Future of Programming and AI | Lex Fridman Podcast #381,2023-06-02T21:18:32Z,Chris Lattner,381,Future of Programming and AI,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,c++,chris lattner,hardware,learning,lex ai,lex fridman,lex jre,lex mit,lex podcast,machine,mit ai,mojo,programming,python,software",3hr 34min 4s,783800,8074,665
YDjOS0VHEr4,Neil Gershenfeld: Self-Replicating Robots and the Future of Fabrication | Lex Fridman Podcast #380,2023-05-28T15:46:03Z,Neil Gershenfeld,380,Self-Replicating Robots and the Future of Fabrication,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,diy,fab lab,lex ai,lex fridman,lex jre,lex mit,lex podcast,maker movement,mit ai,neil gershenfeld,quantum computer",2hr 7min 5s,633728,10114,1329
iFXGpKf9VBU,"Randall Kennedy: The N-Word - History of Race, Law, Politics, and Power | Lex Fridman Podcast #379",2023-05-24T15:25:12Z,Randall Kennedy,379,"The N-Word - History of Race, Law, Politics, and Power","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,randall kennedy",3hr 10min 4s,243153,5770,1539
IQnUa5Bq5x4,"Anna Frebel: Origin and Evolution of the Universe, Galaxies, and Stars | Lex Fridman Podcast #378",2023-05-18T21:16:26Z,Anna Frebel,378,"Origin and Evolution of the Universe, Galaxies, and Stars","agi,ai,ai podcast,anna frebel,artificial intelligence,artificial intelligence podcast,astrology,astronomy,astrophysics,big bang,carbon,helium,hydrogen,iron,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,stellar,universe",2hr 18min 50s,434732,6831,1097
DgTjSrrf6GQ,Harvey Silverglate: Freedom of Speech | Lex Fridman Podcast #377,2023-05-16T01:17:17Z,Harvey Silverglate,377,Freedom of Speech,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,harvey silverglate,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",1hr 51min 12s,149267,3668,858
PdE-waSx-d8,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality & Computation | Lex Fridman Podcast #376",2023-05-09T17:10:30Z,Stephen Wolfram,376,"ChatGPT and the Nature of Truth, Reality & Computation","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,stephen wolfram",4hr 14min 34s,669645,12175,1485
2i31fDkaK9A,"David Pakman: Politics of Trump, Biden, Bernie, AOC, Socialism & Wokeism | Lex Fridman Podcast #375",2023-05-06T17:38:23Z,David Pakman,375,"Politics of Trump, Biden, Bernie, AOC, Socialism & Wokeism","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,david pakman,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",3hr 31min 3s,625489,11659,5629
