383,Ff4fRgnuFgQ,"Mark Zuckerberg: Future of AI at Meta, Facebook, Instagram, and WhatsApp | Lex Fridman Podcast #383"
382,8TmV6KEYkK0,"Bert Kreischer: Comedy, Drinking, Rogan, Segura, Churchill & Kim Jong Un | Lex Fridman Podcast #382"
381,pdJQ8iVTwj8,Chris Lattner: Future of Programming and AI | Lex Fridman Podcast #381
380,YDjOS0VHEr4,Neil Gershenfeld: Self-Replicating Robots and the Future of Fabrication | Lex Fridman Podcast #380
379,iFXGpKf9VBU,"Randall Kennedy: The N-Word - History of Race, Law, Politics, and Power | Lex Fridman Podcast #379"
378,IQnUa5Bq5x4,"Anna Frebel: Origin and Evolution of the Universe, Galaxies, and Stars | Lex Fridman Podcast #378"
377,DgTjSrrf6GQ,Harvey Silverglate: Freedom of Speech | Lex Fridman Podcast #377
376,PdE-waSx-d8,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality & Computation | Lex Fridman Podcast #376"
375,2i31fDkaK9A,"David Pakman: Politics of Trump, Biden, Bernie, AOC, Socialism & Wokeism | Lex Fridman Podcast #375"
374,cLVdsZ3I5os,Robert Playter: Boston Dynamics CEO on Humanoid and Legged Robotics | Lex Fridman Podcast #374
373,wMavKrA-4do,Manolis Kellis: Evolution of Human Civilization and Superintelligent AI | Lex Fridman Podcast #373
372,OgIo36F6Fsg,"Simone Giertz: Queen of Sh*tty Robots, Innovative Engineering, and Design | Lex Fridman Podcast #372"
371,VcVfceTsD0A,Max Tegmark: The Case for Halting AI Development | Lex Fridman Podcast #371
370,Osh0-J3T2nY,"Edward Frenkel: Reality is a Paradox - Mathematics, Physics, Truth & Love | Lex Fridman Podcast #370"
369,gPfriiHBBek,"Paul Rosolie: Amazon Jungle, Uncontacted Tribes, Anacondas, and Ayahuasca | Lex Fridman Podcast #369"
368,AaTRHFaaPG8,Eliezer Yudkowsky: Dangers of AI and the End of Human Civilization | Lex Fridman Podcast #368
367,L_Guz73e6fw,"Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI | Lex Fridman Podcast #367"
366,qtOKrG_wK5A,"Shannon Curry: Johnny Depp & Amber Heard Trial, Marriage, Dating & Love | Lex Fridman Podcast #366"
365,Qyrjgf-_Vdk,"Sam Harris: Trump, Pandemic, Twitter, Elon, Bret, IDW, Kanye, AI & UFOs | Lex Fridman Podcast #365"
364,8EguLJgkc54,Chris Voss: FBI Hostage Negotiator | Lex Fridman Podcast #364
363,hLZ6PACCBy8,"B-Team Jiu Jitsu: Craig Jones, Nicky Rod, and Nicky Ryan | Lex Fridman Podcast #363"
362,XiCxj-bXu5M,"Ginni Rometty: IBM CEO on Leadership, Power, and Adversity | Lex Fridman Podcast #362"
361,J1lN9zkK_k0,Aaron Smith-Levin: Scientology | Lex Fridman Podcast #361
360,GkZz2I6sK08,"Tim Urban: Tribalism, Marxism, Liberalism, Social Justice, and Politics | Lex Fridman Podcast #360"
359,y3cw_9ELpQw,"Andrew Strominger: Black Holes, Quantum Gravity, and Theoretical Physics | Lex Fridman Podcast #359"
358,cFSrxSBrgSc,"Aella: Sex Work, OnlyFans, Porn, Escorting, Dating, and Human Sexuality | Lex Fridman Podcast #358"
357,jRBksDVs4tg,"Paul Conti: Narcissism, Sociopathy, Envy, and the Nature of Good and Evil | Lex Fridman Podcast #357"
356,5eK5A_43pkE,"Tim Dodd: SpaceX, Starship, Rocket Engines, and Future of Space Travel | Lex Fridman Podcast #356"
355,uZN5xjoS6TU,David Kipping: Alien Civilizations and Habitable Worlds | Lex Fridman Podcast #355
354,GvX-heRWFfA,"Jeremi Suri: Civil War, Slavery, Freedom, and Democracy | Lex Fridman Podcast #354"
353,aJoRMFWn2Jk,Dennis Whyte: Nuclear Fusion and the Future of Energy | Lex Fridman Podcast #353
352,BOKCNUqbpH0,Omar Suleiman: Islam | Lex Fridman Podcast #352
351,Z3_PwvvfxIU,"MrBeast: Future of YouTube, Twitter, TikTok, and Instagram | Lex Fridman Podcast #351"
350,NXU_M4030nE,"Betül Kaçar: Origin of Life, Ancient DNA, Panspermia, and Aliens | Lex Fridman Podcast #350"
349,pNlfHgHJweQ,Bhaskar Sunkara: Socialism and Communism | Lex Fridman Podcast #349
348,yyBosLx7bbM,Nathalie Cabrol: Search for Alien Life | Lex Fridman Podcast #348
347,NUkXluf3OYA,Michael Malice: Christmas Special | Lex Fridman Podcast #347
346,9PIOoJMMptA,Ed Calderon: Mexican Drug Cartels | Lex Fridman Podcast #346
345,hi9Rf0oLdHk,"Coffeezilla: SBF, FTX, Fraud, Scams, Fake Gurus, Money, Fame, and Power | Lex Fridman Podcast #345"
344,2oHH4aClJQs,Noam Brown: AI vs Humans in Poker and Games of Strategic Negotiation | Lex Fridman Podcast #344
343,FhfmGM6hswI,Roger Gracie: Greatest Jiu Jitsu Competitor of All Time | Lex Fridman Podcast #343
342,H9AAnV59ddE,"Todd Howard: Skyrim, Elder Scrolls 6, Fallout, and Starfield | Lex Fridman Podcast #342"
341,-DVyjdw4t9I,Guido van Rossum: Python and the Future of Programming | Lex Fridman Podcast #341
340,4KiO8GRgwDk,Chris Tarbell: FBI Agent Who Took Down Silk Road | Lex Fridman Podcast #340
339,5Gk9gIpGvSE,Climate Change Debate: Bjørn Lomborg and Andrew Revkin | Lex Fridman Podcast #339
338,kFQUDCgMjRc,"Chamath Palihapitiya: Money, Success, Startups, Energy, Poker & Happiness | Lex Fridman Podcast #338"
337,bqeuFiAUU4o,"Destiny: Politics, Free Speech, Controversy, Sex, War, and Relationships | Lex Fridman Podcast #337"
336,AF8DOS4C2KM,"Ben Shapiro: Politics, Kanye, Trump, Biden, Hitler, Extremism, and War | Lex Fridman Podcast #336"
335,vNhSCF9i8Qs,Fiona Hill: Vladimir Putin and Donald Trump | Lex Fridman Podcast #335
334,OYsYgzzsdT0,"Abbas Amanat: Iran Protests, Mahsa Amini, History, CIA & Nuclear Weapons | Lex Fridman Podcast #334"
333,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast #333"
332,4AWLcxTGZPA,Kanye 'Ye' West Interview | Lex Fridman Podcast #332
331,VeH7qKZr0WI,"Balaji Srinivasan: How to Fix Government, Twitter, Science, and the FDA | Lex Fridman Podcast #331"
330,oJNvxYEcVAY,"Hikaru Nakamura: Chess, Magnus, Kasparov, and the Psychology of Greatness | Lex Fridman Podcast #330"
329,ZFntEFXKDHM,"Kate Darling: Social Robots, Ethics, Privacy and the Future of MIT | Lex Fridman Podcast #329"
328,iZRbD7q1n-U,"John Danaher: Grappling, Jiu Jitsu, ADCC, and Animal Combat | Lex Fridman Podcast #328"
327,iSMpTmibeDw,"GothamChess: Hans Niemann, Magnus Carlsen, Cheating Scandal & Chess Bots | Lex Fridman Podcast #327"
326,q6zEzZCtkXw,"Annaka Harris: Free Will, Consciousness, and the Nature of Reality | Lex Fridman Podcast #326"
325,p3lsYlod5OU,"Michael Levin: Biology, Life, Aliens, Evolution, Embryogenesis & Xenobots | Lex Fridman Podcast #325"
324,rKnoNfajUgM,Daniel Negreanu: Poker | Lex Fridman Podcast #324
323,xewD1apJNhw,"Will Sasso: Comedy, MADtv, AI, Friendship, Madness, and Pro Wrestling | Lex Fridman Podcast #323"
322,36_rM7wpN5A,"Rana el Kaliouby: Emotion AI, Social Robots, and Self-Driving Cars | Lex Fridman Podcast #322"
321,ykY69lSpDdo,"Ray Kurzweil: Singularity, Superintelligence, and Immortality | Lex Fridman Podcast #321"
320,SK4kMPmgKW0,"Christopher Capozzola: World War I, Ideology, Propaganda, and Politics | Lex Fridman Podcast #320"
319,srUlKNLZTas,"Botez Sisters: Chess, Streaming, and Fame | Lex Fridman Podcast #319"
318,tOtdJcco3YM,"Nick Lane: Origin of Life, Evolution, Aliens, Biology, and Consciousness | Lex Fridman Podcast #318"
317,yImlXr5Tr8g,"John Vervaeke: Meaning Crisis, Atheism, Religion & the Search for Wisdom | Lex Fridman Podcast #317"
316,7uHGlfeCBbE,"Noam Chomsky: Putin, Ukraine, China, and Nuclear War | Lex Fridman Podcast #316"
315,0ZO28NtkwwQ,Magnus Carlsen: Greatest Chess Player of All Time | Lex Fridman Podcast #315
314,eF-E40pxxbI,"Liv Boeree: Poker, Game Theory, AI, Simulation, Aliens & Existential Risk | Lex Fridman Podcast #314"
313,sY8aFSY2zv4,"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313"
312,jdIyNMkusLE,"Duncan Trussell: Comedy, Sentient Robots, Suffering, Love & Burning Man | Lex Fridman Podcast #312"
311,Q6tDV3BhrcM,"Magatte Wade: Africa, Capitalism, Communism, and the Future of Humanity | Lex Fridman Podcast #311"
310,T3FC7qIAGZk,Andrew Bustamante: CIA Spy | Lex Fridman Podcast #310
309,I845O57ZSy4,"John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets | Lex Fridman Podcast #309"
308,qLDp-aYnR1Y,"Ryan Graves: UFOs, Fighter Jets, and Aliens | Lex Fridman Podcast #308"
307,VBPTFlpv31k,"Brian Armstrong: Coinbase, Cryptocurrency, and Government Regulation | Lex Fridman Podcast #307"
306,aGBLRlLe7X8,Oriol Vinyals: Deep Learning and Artificial General Intelligence | Lex Fridman Podcast #306
305,50r-5ULcWgY,"Martin Rees: Black Holes, Alien Life, Dark Matter, and the Big Bang | Lex Fridman Podcast #305"
304,WgytXF0SPh0,Bishop Robert Barron: Christianity and the Catholic Church | Lex Fridman Podcast #304
303,1XGiTDWfdpM,"Steve Keen: Marxism, Capitalism, and Economics | Lex Fridman Podcast #303"
302,hppbxV9C63g,"Richard Haier: IQ Tests, Human Intelligence, and Group Differences | Lex Fridman Podcast #302"
301,dSVLjAdo8UA,Jack Barsky: KGB Spy | Lex Fridman Podcast #301
